y,x,ID,이디야 매장수,스타벅스 매장수,커피빈 매장수,빽다방 매장수,커피지수
0,7,철원,2.0,0.0,0.0,0.0,0.0
0,8,화천,2.0,0.0,0.0,0.0,0.0
0,9,양구,1.0,0.0,0.0,0.0,0.0
0,10,고성(강원),1.0,2.0,0.0,0.0,2.0
1,3,양주,14.0,3.0,0.0,0.0,0.21428571428571427
1,4,동두천,2.0,3.0,0.0,0.0,1.5
1,5,연천,1.0,0.0,1.0,0.0,1.0
1,6,포천,10.0,5.0,0.0,1.0,0.45454545454545453
1,7,의정부,21.0,9.0,0.0,4.0,0.36
1,8,인제,3.0,1.0,0.0,0.0,0.3333333333333333
1,9,춘천,23.0,8.0,1.0,4.0,0.3333333333333333
1,10,속초,7.0,4.0,0.0,0.0,0.5714285714285714
2,3,고양 덕양,19.0,16.0,1.0,5.0,0.7083333333333334
2,4,고양 일산동,16.0,15.0,4.0,2.0,1.0555555555555556
2,5,서울 도봉,8.0,1.0,0.0,0.0,0.125
2,6,서울 노원,33.0,9.0,2.0,5.0,0.2894736842105263
2,7,남양주,35.0,6.0,0.0,3.0,0.15789473684210525
2,8,홍천,3.0,1.0,0.0,1.0,0.25
2,9,횡성,0.0,0.0,0.0,0.0,0.0
2,10,양양,2.0,0.0,0.0,0.0,0.0
3,2,파주,20.0,4.0,1.0,6.0,0.19230769230769232
3,3,고양 일산서,11.0,12.0,5.0,2.0,1.3076923076923077
3,4,김포,16.0,11.0,1.0,7.0,0.5217391304347826
3,5,서울 강북,11.0,5.0,2.0,1.0,0.5833333333333334
3,6,서울 성북,22.0,13.0,4.0,6.0,0.6071428571428571
3,7,가평,6.0,0.0,0.0,0.0,0.0
3,8,구리,12.0,3.0,1.0,3.0,0.26666666666666666
3,9,하남,11.0,5.0,1.0,1.0,0.5
3,10,정선,1.0,0.0,0.0,0.0,0.0
3,11,강릉,7.0,3.0,0.0,2.0,0.3333333333333333
4,2,부천 소사,0.0,0.0,0.0,0.0,0.0
4,3,안양 만안,10.0,3.0,2.0,4.0,0.35714285714285715
4,4,광명,8.0,8.0,0.0,2.0,0.8
4,5,서울 서대문,13.0,19.0,8.0,4.0,1.588235294117647
4,6,서울 종로,16.0,33.0,15.0,7.0,2.0869565217391304
4,7,서울 동대문,19.0,8.0,4.0,5.0,0.5
4,8,서울 중랑,11.0,6.0,2.0,2.0,0.6153846153846154
4,9,양평,4.0,2.0,0.0,1.0,0.4
4,10,태백,0.0,0.0,0.0,0.0,0.0
4,11,동해,1.0,1.0,1.0,1.0,1.0
5,1,인천 강화,1.0,0.0,0.0,1.0,0.0
5,2,부천 원미,0.0,0.0,0.0,0.0,0.0
5,3,안양 동안,12.0,12.0,2.0,9.0,0.6666666666666666
5,4,서울 은평,21.0,10.0,2.0,6.0,0.4444444444444444
5,5,서울 마포,21.0,30.0,12.0,6.0,1.5555555555555556
5,6,서울 중구,24.0,55.0,14.0,7.0,2.225806451612903
5,7,서울 성동,17.0,6.0,1.0,4.0,0.3333333333333333
5,8,서울 강동,12.0,13.0,8.0,5.0,1.2352941176470589
5,9,여주,4.0,2.0,0.0,0.0,0.5
5,10,원주,13.0,10.0,1.0,5.0,0.6111111111111112
5,11,삼척,1.0,1.0,0.0,2.0,0.3333333333333333
6,1,인천 서구,27.0,7.0,0.0,4.0,0.22580645161290322
6,2,부천 오정,0.0,0.0,0.0,0.0,0.0
6,3,시흥,23.0,4.0,0.0,7.0,0.13333333333333333
6,4,서울 강서,39.0,17.0,5.0,8.0,0.46808510638297873
6,5,서울 동작,11.0,8.0,1.0,3.0,0.6428571428571429
6,6,서울 용산,11.0,20.0,5.0,4.0,1.6666666666666667
6,7,서울 광진,16.0,14.0,6.0,5.0,0.9523809523809523
6,8,서울 송파,27.0,28.0,12.0,11.0,1.0526315789473684
6,9,이천,7.0,7.0,3.0,1.0,1.25
6,10,평창,1.0,2.0,0.0,0.0,2.0
6,11,울진,1.0,0.0,1.0,1.0,0.5
7,1,인천 동구,2.0,2.0,0.0,0.0,1.0
7,2,인천 계양,12.0,2.0,0.0,3.0,0.13333333333333333
7,3,안산 상록,7.0,2.0,0.0,1.0,0.25
7,4,서울 양천,17.0,10.0,4.0,4.0,0.6666666666666666
7,5,서울 관악,23.0,9.0,3.0,5.0,0.42857142857142855
7,6,서울 서초,17.0,47.0,29.0,9.0,2.923076923076923
7,7,성남 중원,6.0,1.0,1.0,3.0,0.2222222222222222
7,8,과천,2.0,4.0,0.0,0.0,2.0
7,9,광주,12.0,4.0,0.0,2.0,0.2857142857142857
7,10,영월,0.0,0.0,0.0,0.0,0.0
7,11,영덕,2.0,1.0,0.0,0.0,0.5
8,2,인천 부평,28.0,13.0,2.0,2.0,0.5
8,3,안산 단원,17.0,6.0,0.0,6.0,0.2608695652173913
8,4,서울 영등포,27.0,30.0,15.0,6.0,1.3636363636363635
8,5,서울 금천,11.0,13.0,2.0,1.0,1.25
8,6,서울 강남,42.0,84.0,70.0,16.0,2.6551724137931036
8,7,성남 분당,23.0,45.0,17.0,12.0,1.7714285714285714
8,8,성남 수정,7.0,2.0,1.0,3.0,0.3
8,9,용인 수지,17.0,9.0,2.0,4.0,0.5238095238095238
8,10,문경,3.0,1.0,0.0,0.0,0.3333333333333333
8,11,봉화,1.0,0.0,0.0,0.0,0.0
8,13,울릉,0.0,0.0,0.0,0.0,0.0
9,1,인천 중구,11.0,3.0,2.0,4.0,0.3333333333333333
9,2,인천 남구,14.0,10.0,1.0,5.0,0.5789473684210527
9,3,화성,23.0,12.0,5.0,12.0,0.4857142857142857
9,4,서울 구로,20.0,11.0,2.0,5.0,0.52
9,5,군포,10.0,4.0,2.0,8.0,0.3333333333333333
9,6,의왕,6.0,0.0,0.0,2.0,0.0
9,7,수원 영통,19.0,12.0,4.0,5.0,0.6666666666666666
9,8,용인 기흥,23.0,8.0,2.0,9.0,0.3125
9,9,용인 처인,2.0,4.0,0.0,2.0,1.0
9,10,안동,10.0,3.0,0.0,2.0,0.25
9,11,영양,0.0,0.0,0.0,0.0,0.0
10,0,인천 옹진,2.0,0.0,0.0,0.0,0.0
10,1,인천 연수,14.0,12.0,6.0,8.0,0.8181818181818182
10,2,인천 남동,35.0,13.0,1.0,18.0,0.2641509433962264
10,3,오산,6.0,4.0,0.0,3.0,0.4444444444444444
10,4,안성,1.0,4.0,0.0,1.0,2.0
10,5,수원 권선,13.0,4.0,1.0,2.0,0.3333333333333333
10,6,수원 장안,9.0,3.0,2.0,3.0,0.4166666666666667
10,7,제천,2.0,1.0,2.0,0.0,1.5
10,8,예천,0.0,0.0,0.0,0.0,0.0
10,9,영주,4.0,0.0,0.0,0.0,0.0
10,10,구미,8.0,7.0,1.0,3.0,0.7272727272727273
10,11,청송,1.0,0.0,0.0,0.0,0.0
10,12,포항 북구,9.0,5.0,1.0,2.0,0.5454545454545454
11,0,태안,2.0,0.0,0.0,0.0,0.0
11,1,아산,7.0,8.0,0.0,4.0,0.7272727272727273
11,2,천안 동남,8.0,7.0,1.0,3.0,0.7272727272727273
11,3,천안 서북,7.0,7.0,0.0,5.0,0.5833333333333334
11,4,평택,10.0,7.0,1.0,4.0,0.5714285714285714
11,5,음성,4.0,1.0,1.0,0.0,0.5
11,6,수원 팔달,12.0,12.0,4.0,4.0,1.0
11,7,단양,1.0,0.0,0.0,0.0,0.0
11,8,상주,2.0,0.0,1.0,0.0,0.5
11,9,김천,3.0,1.0,0.0,0.0,0.3333333333333333
11,10,군위,0.0,0.0,0.0,0.0,0.0
11,11,의성,0.0,0.0,0.0,0.0,0.0
11,12,포항 남구,4.0,8.0,0.0,0.0,2.0
12,1,당진,6.0,3.0,0.0,3.0,0.3333333333333333
12,2,홍성,3.0,0.0,0.0,2.0,0.0
12,3,예산,5.0,1.0,0.0,0.0,0.2
12,4,공주,4.0,2.0,0.0,1.0,0.4
12,5,진천,3.0,0.0,0.0,0.0,0.0
12,6,충주,4.0,5.0,0.0,1.0,1.0
12,7,청주 흥덕,12.0,8.0,1.0,2.0,0.6428571428571429
12,8,괴산,1.0,0.0,0.0,0.0,0.0
12,9,칠곡,4.0,1.0,0.0,0.0,0.25
12,10,영천,1.0,0.0,0.0,0.0,0.0
12,11,경산,6.0,7.0,0.0,3.0,0.7777777777777778
12,12,경주,20.0,8.0,1.0,2.0,0.4090909090909091
13,1,서산,5.0,4.0,1.0,1.0,0.8333333333333334
13,2,보령,2.0,1.0,0.0,1.0,0.3333333333333333
13,3,청양,0.0,0.0,0.0,0.0,0.0
13,4,세종,11.0,7.0,1.0,3.0,0.5714285714285714
13,5,대전 대덕,1.0,6.0,0.0,2.0,2.0
13,6,증평,2.0,0.0,0.0,0.0,0.0
13,7,청주 청원,8.0,3.0,0.0,1.0,0.3333333333333333
13,8,보은,2.0,0.0,0.0,0.0,0.0
13,9,고령,1.0,1.0,0.0,0.0,1.0
13,10,청도,2.0,1.0,0.0,0.0,0.5
13,11,성주,1.0,0.0,0.0,0.0,0.0
13,12,울산 북구,12.0,4.0,0.0,1.0,0.3076923076923077
14,2,부여,1.0,0.0,0.0,0.0,0.0
14,3,논산,2.0,1.0,0.0,1.0,0.3333333333333333
14,4,계룡,0.0,0.0,0.0,0.0,0.0
14,5,대전 동구,3.0,5.0,2.0,4.0,1.0
14,6,청주 상당,6.0,6.0,1.0,2.0,0.875
14,7,청주 서원,5.0,3.0,0.0,3.0,0.375
14,8,대구 북구,8.0,6.0,0.0,5.0,0.46153846153846156
14,9,대구 중구,5.0,14.0,4.0,4.0,2.0
14,10,대구 수성,4.0,21.0,2.0,1.0,4.6
14,11,울산 울주,8.0,1.0,0.0,1.0,0.1111111111111111
